Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1981,6.69009722551171,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1980,6.7125710246212,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1979,6.73125424691904,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1978,6.74815576584561,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1977,6.76331643157633,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1976,6.77664297446575,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1975,6.78952574053981,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1974,6.79959285900952,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1973,6.80676547232644,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1972,6.81066810464681,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1971,6.81140349022329,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1970,6.81006297864372,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1969,6.80624754364947,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1968,6.80147753023864,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1967,6.79604044650341,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1966,6.78988549641642,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1965,6.78335665586999,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1964,6.77540573589332,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1963,6.76539995836109,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1962,6.75281831769303,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1961,6.73865082511781,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1960,6.72330812352095,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2019,5.04414441407213,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2018,5.11300261660126,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2017,5.18239107484279,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2016,5.25167418988035,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2015,5.31947341679464,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2014,5.38433589422217,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2013,5.44614403058006,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2012,5.50378135093046,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2011,5.55787182821696,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2010,5.60767210212505,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2009,5.65439834596769,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2008,5.69884205888142,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2007,5.74184743463658,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2006,5.78445201860554,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2005,5.82667448216904,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2004,5.86779951245688,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2003,5.9086591885799,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2002,5.94939056309589,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2001,5.98997248139476,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2000,6.03104412808845,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1999,6.07312772042606,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1998,6.11660200881304,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1997,6.16153062124731,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1996,6.20820455178989,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1995,6.25694489149099,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1994,6.30682367734904,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1993,6.35892958675801,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1992,6.41209167307122,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1991,6.46548777413971,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1990,6.51814632987484,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1989,6.57013989386995,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1988,6.62066287392404,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1987,6.66896581257875,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1986,6.71378733406527,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1985,6.75400424926768,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1984,6.78805807214095,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1983,6.81630863796955,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1982,6.83856785224621,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1981,6.8541953501962,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1980,6.86229486016166,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1979,6.86355742120329,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1978,6.85835002108051,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1977,6.84795955454954,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1976,6.83224008461073,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1975,6.81164676486168,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1974,6.78590346146943,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1973,6.75567923628413,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1972,6.72169840474682,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1971,6.68593147019455,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1970,6.65056409425576,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1969,6.61713746471193,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1968,6.58666459021751,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1967,6.56007822347971,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1966,6.53761460743257,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1965,6.51904987607126,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1964,6.50261929000956,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1963,6.48724575348269,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1962,6.47139947016916,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1961,6.45552302144294,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1960,6.43900154116097,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2019,3.18715713514644,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2018,3.23100110132061,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2017,3.27648746292235,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2016,3.32243727942994,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2015,3.36522111169123,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2014,3.40207042854914,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2013,3.43047695510227,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2012,3.45066091158188,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2011,3.46310228869235,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2010,3.47038388060366,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2009,3.47502444929669,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2008,3.48070062994695,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2007,3.49109363258564,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2006,3.50894819741692,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2005,3.53757586730291,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2004,3.57613557246486,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2003,3.6264598797368,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2002,3.68728060785318,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2001,3.76043671117959,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2000,3.84571250984344,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1999,3.94360720883609,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1998,4.05398060280466,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1997,4.17458331496668,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1996,4.30418883370249,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1995,4.44181871034664,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1994,4.59917595844835,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1993,4.75005284436056,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1992,4.90370982655772,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1991,5.0360913500545,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1990,5.18683140138278,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1989,5.32272020389216,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1988,5.46805856404059,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1987,5.60807892058571,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1986,5.74114896960966,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1985,5.86564317756055,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1984,5.97799581143295,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1983,6.08114132342317,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1982,6.17498385316194,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1981,6.26035916113173,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1980,6.3370640545755,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1979,6.40725934686373,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1978,6.47196737216381,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1977,6.53215737081088,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1976,6.59020341045694,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1975,6.64757890867055,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1974,6.70526975856843,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1973,6.76312079867672,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1972,6.82007914135409,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1971,6.8748417363376,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1970,6.92498131259139,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1969,6.96788391326615,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1968,7.00219257296525,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1967,7.02689297967267,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1966,7.04258975778653,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1965,7.0490423107306,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1964,7.04569018792878,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1963,7.03503562500939,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1962,7.01872477811617,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1961,6.99863481462011,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1960,6.97725618059552,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2019,1.97990406454761,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2018,1.99513438593883,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2017,2.01075440613027,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2016,2.02764502591887,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2015,2.04524901380723,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2014,2.06426834720358,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2013,2.08447999706532,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2012,2.10645191132354,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2011,2.12943297706109,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2010,2.15318278933882,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2009,2.17700104960808,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2008,2.20082698473426,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2007,2.2239608284629,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2006,2.24718402757169,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2005,2.27142312235848,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2004,2.29837034498606,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2003,2.32884072389941,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2002,2.36212884955056,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2001,2.3988418597826,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2000,2.43823830142346,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1999,2.47857913950814,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1998,2.51959575762913,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1997,2.56038088218612,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1996,2.60055766357158,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1995,2.63996785184436,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1994,2.68054841672288,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1993,2.72172024683896,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1992,2.76552911653725,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1991,2.81264894812091,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1990,2.86576574396165,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1989,2.92620692393694,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1988,2.99552224896712,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1987,3.0721919208369,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1986,3.15518747402753,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1985,3.24047178176005,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1984,3.32305720327969,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1983,3.39919426372729,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1982,3.4691442373756,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1981,3.53488614614858,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1980,3.60097000521383,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1979,3.6751354800979,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1978,3.76319827619441,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1977,3.86968234371674,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1976,3.99270462284625,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1975,4.12970159769227,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1974,4.27994986034762,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1973,4.43303534788658,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1972,4.58206482661502,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1971,4.72602794615995,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1970,4.86346651242278,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1969,4.99299599885624,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1968,5.11862233509794,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1967,5.23825736979248,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1966,5.34781618621165,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1965,5.44233333641278,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1964,5.51718758726359,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1963,5.57182118432622,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1962,5.60420730499586,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1961,5.61367949062807,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1960,5.60034002979307,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Central Europe and the Baltics,CEB,2019,1.55512487842854,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Central Europe and the Baltics,CEB,2018,1.5746091174079,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Central Europe and the Baltics,CEB,2017,1.56783031806108,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Central Europe and the Baltics,CEB,2016,1.52216388042765,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Central Europe and the Baltics,CEB,2015,1.46237002436237,female
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Central Europe and the Baltics,CEB,2014,1.44318176425587,female
